File,Solver,Equations,Specified Time Steps,Steps Completed,Equil Iter,RH Eval,Stiff Reform,Plt Size,Termination
mi05.feb,psldlt,28,10,10,50,60,10,2716,Normal
mi06.feb,psldlt,598,10,10,30,40,30,69548,Normal
mi09.feb,psldlt,550,10,13,68,81,13,26428,Normal
mi11.feb,psldlt,550,10,12,101,129,14,89308,Normal
mi13.feb,psldlt,12,10,10,20,30,10,1796,Normal
mi14.feb,psldlt,636,10,10,43,53,10,88188,Normal
mi15.feb,psldlt,80,400,400,736,1136,400,820788,Normal
mi16.feb,psldlt,3660,50,16,105,134,18,783012,Normal
mi17.feb,psldlt,4,10,10,10,20,10,1796,Normal
mi19.feb,psldlt,13399,10,4,10,17,4,955644,Normal
mi20.feb,psldlt,3,1,1,12,17,2,500,Normal
mi22.feb,psldlt,12,5000,25,30,55,25,3716,Normal
mi23.feb,psldlt,1008,50,14,19,33,14,190348,Normal
mi24.feb,psldlt,1220,10,10,37,47,37,198828,Normal
mi25.feb,psldlt,54,10,10,33,43,10,6940,Normal
ms01.feb,psldlt,270,10,10 50,50 193,60 243,10 50,143916,Normal
ms02.feb,psldlt,270,10,10 50,40 204,50 254,10 50,143916,Normal
ms03.feb,psldlt,12,10,10 50,30 100,40 150,10 50,8196,Normal
mu02.feb,psldlt,20,100,100,200,300,100,21076,Normal
mu03.feb,psldlt,12,10,10,30,40,10,1796,Normal
ri01.feb,psldlt,190,10,10,30,40,10,24468,Normal
ri03.feb,psldlt,4055,10,10,41,51,10,925212,Normal
ri04.feb,psldlt,5216,62,62,498,790,187,6748204,Normal
ri05.feb,psldlt,108,10,10,53,77,10,13644,Normal
ri06.feb,psldlt,136,10,13,137,240,26,165064,Normal
ri07.feb,psldlt,662,10,8,81,90,12,287284,Normal
sh01.feb,psldlt,5074,10,10,20,30,10,1159676,Normal
sh02.feb,psldlt,180,10,20,250,337,32,63212,Normal
sh03.feb,psldlt,522,10,10,50,62,10,160524,Normal
sh04.feb,psldlt,600,100,20,162,205,25,303084,Normal
sh05.feb,psldlt,1014,100,18,150,176,19,488012,Normal
sh07.feb,psldlt,301,10,14,152,237,22,98752,Normal
sh10.feb,psldlt,1087,10,11,77,94,12,350704,Normal
sh12.feb,psldlt,330,10,10,57,74,10,81204,Normal
sh13.feb,psldlt,602,10,42,529,709,73,503252,Normal
sh14.feb,psldlt,3802,10,10,64,77,10,2774028,Normal
sh15.feb,psldlt,606,10,11,55,70,12,174780,Normal
tu01.feb,psldlt,2088,10,10,29,39,10,281164,Normal
tu02.feb,psldlt,2053,10,10,80,90,10,282660,Normal
tu03.feb,psldlt,2020,10,11,88,103,13,562840,Normal
